Mission,Spacecraft,Launch Date,Carrier Rocket,Operator,Mission Type,Outcome
ArgoMoon,ArgoMoon,16-Nov-22,SLS Block 1,Italy ASI,Flybys,Operational
LunIR,LunIR,16-Nov-22,SLS Block 1,United States Lockheed Martin,Flyby,Successful
Near-Earth Asteroid Scout,Near-Earth Asteroid Scout,16-Nov-22,SLS Block 1,United States NASA,Flyby,Spacecraft failure
EQUULEUS,EQUULEUS,16-Nov-22,SLS Block 1,Japan JAXA,Flybys,Operational
OMOTENASHI,OMOTENASHI,16-Nov-22,SLS Block 1,Japan JAXA,Impactor,Spacecraft failure
BioSentinel,BioSentinel,16-Nov-22,SLS Block 1,United States NASA,Flyby,Successful
CubeSat for Solar Particles,CubeSat for Solar Particles,16-Nov-22,SLS Block 1,United States NASA,Flyby,Spacecraft failure
Team Miles,Team Miles,16-Nov-22,SLS Block 1,United States Fluid & Reason,Flyby,Successful
Hakuto-R Mission 1,Hakuto-R,11-Dec-22,Falcon 9 Block 5,Japan ispace,Lander,Spacecraft failure
SORA-Q,SORA-Q,11-Dec-22,Falcon 9 Block 5,Japan Tomy/JAXA/Dodai,Rover,Spacecraft failure
Emirates Lunar Mission,Rashid,11-Dec-22,Falcon 9 Block 5,UAE UAESA/MBRSC,Rover,Spacecraft failure
Lunar Flashlight,Lunar Flashlight,11-Dec-22,Falcon 9 Block 5,United States NASA,Flyby,Spacecraft failure
Jupiter Icy Moons Explorer,Jupiter Icy Moons Explorer,14-Apr-23,Ariane 5 ECA,European Union ESA,Flyby,En route
Chandrayaan-3,Chandrayaan-3,14-Jul-23,LVM3 M4,India ISRO,Orbiter,Operational
Luna 25,Luna 25,10-Aug-23,Soyuz-2.1b/Fregat,Russia Roscosmos,Lander,Spacecraft failure
